company;text;source
AmeriQual Group LLC;AmeriQual Group, LLC produces, packages, assembles, and distributes shelf-stable food products for the United States Department of Defense and branded food companies. The company provides individual and group rations, such as meals, ready to eat, humanitarian daily rations, meal patrol, and cold weather/long range patrol rations. It also offers commercial product meal kits, foreign military rations, personal hygiene kits, private label foods, retail store packs, and snack kits. The company was founded in 1987 and is based in Evansville, Indiana.;Bloomberg
Arista Industries;Arista Industries, Inc. supplies vegetable and marine oil. The Company offers almond, aloe vera, argan, corn, coffee, coconut, jojoba, palm, and other oils, as well as almond oil, amla fruit, avocado oil, and canola oil powder. Arista Industries serves customers worldwide.;Bloomberg
Bar-S/Campofrio;Bar-S Foods Co. produces, markets, and distributes processed meat products in the United States. It offers franks, sliced lunch meat, specialty sausage, corn dogs, smoked sausage, and bacon. The company serves retail, service deli, warehouse club, military, and export market segments. Bar-S Foods Co. was founded in 1981 and is based in Phoenix, Arizona. The company has production, and distribution and warehouse facilities in Clinton, Altus, Lawton, and Elk City, Oklahoma. As of September 6, 2010, Bar-S Foods Co. operates as a subsidiary of Sigma Foods, LLC.;Bloomberg
Bridor Inc.;"Bridor inc. manufactures par-baked and frozen breads. The company offers Viennese pastries, such as croissant, chocolatine, brioche and Danish, and puff pastries; and breads, which include French baguettes and Parisian bread, sandwich bread and baguettines, dinner rolls, and crusty round loafs, as well as specialty breads. It serves distributors, grocery chains, restaurants, and hotels in Canada, the United States, and France. The company was founded in 1980 and is based in Boucherville, Canada with a plant in Vineland, New Jersey. Bridor inc. is a subsidiary of Groupe Le Duff SA.";Bloomberg
CH Guenther;"C.H. Guenther & Son, Inc. produces and supplies grain-based products. The company offers gravies and sauces, baking mixes, and other value-added grain-based food products. It also provides kits and corn bread mixes, flours, cornmeals, and tortilla mixes; cheesecakes, cakes, tortes, mousse cakes, and dessert squares; biscuit, gravy, pancake and waffle, and other mixes; seasonings and soup mixes; and spicy wings. It serves food service and consumer markets in North America and Europe. C.H. Guenther & Son, Inc. was formerly known as C.H. Guenther & Sons and changed its name to C.H. Guenther & Son, Inc. in 1894. The company was founded in 1851 and is based in San Antonio, Texas.";Bloomberg
Cherry Central Cooperative;"Cherry Central Cooperative, Inc. grows, harvests, processes, and markets fruits and vegetables. It offers red tart cherries, apples, and blueberries; and cranberries, strawberries, pomegranate arils, and asparagus. The company also provides various ingredients, foodservice items, custom labeled and co-packed products, and retail brands. It serves commercial buyers of dried, frozen, canned, or specialty products. The company was founded in 1973 and is headquartered in Traverse City, Michigan.";Bloomberg
Country Pure Foods;"Country Pure Foods, Inc. produces, processes, and distributes juice products and other beverages. The company provides juices and juice concentrates, blends, fortified juices, and drinks in various flavors; and other beverages, such as natural spring water, fruit drinks, and iced tea. It serves foodservice, retail, and co-pack markets; retail grocery chains and club stores; and institutions, such as hospitals, nursing homes, and schools in the United States. Country Pure Foods, Inc. was formerly known as Ohio Pure Foods, Inc. and changed its name to Country Pure Foods, Inc. in June 1995. The company was founded in 1948 and is headquartered in Akron, Ohio. It has production facilities in Ohio, Connecticut, Florida, and Texas. As of March 4, 2015, Country Pure Foods, Inc. operates as a subsidiary of Silver Springs Citrus, Inc.";Bloomberg
Drew's LLC;Drew's LLC manufactures organic and non-genetically modified organismís dressings, marinades, and salsas. It offers products online. The company was founded in 1995 and is based in Chester, Vermont.;Bloomberg
Giumarra Vineyards Corp.A157;Giumarra Vineyards Corporation produces table grapes and grapes for the wine-producing industry. It also grows and ships apples, apricots, avocados, kiwi fruit, melons, peaches, pears, plums, navel oranges, and potatoes. In addition, the winery operation has hot bottling facilities and Giumarra Vineyards is a bottler for numerous other beverage companies. The Company was founded in 1939 and is based in Edison, California. Giumarra Vineyards Corporation operates as a subsidiary of Giumarra Bros. Fruit Co., Inc.;Bloomberg
Harlan Foods;"Harlan Bakeries, LLC produces and supplies a range of bakery products and dry bakery mixes to in-store bakeries and foodservice chains. It offers frozen unbaked, par-baked, and fully baked bagels; fruit, meringue, cream, spin crust, and specialty pies; cakes; baked cookies and raw cookie dough; pre-deposited muffins, breadsticks, English muffins, brown and serve dinner rolls, and assorted buns and rolls; and pie and tart shells, breads, and granolas. The company also offers contract manufacturing services. The company also offers its products directly, as well as through distributors to consumers in the United States. Harlan Bakeries, LLC was formerly known as D & H Corp. of America, Inc. an...";Bloomberg
